TagID,TagType,FishID,CaptureDate,PITIDNo,AcousticSerialNo,AcousticTagFamily,AcousticCodeSpace,AcousticIDCode,Frequency,RadioCode,RadioCodeStruct,RadioBurstRate,VisualType,VisualIDNo,EstTagLife,DeathDate,SalesOrder,Customer,SensorType,CodeSpace,IDCode
1044641,Acoustic,SNS-2007-004,5/25/2007 12:11,3D9.257C63D0DE,1044641,V13TP-1H,A69-1303,12646,69,,,,,,250,00:00.0,,,NA,,
1053H,Acoustic,SNS-2006-001,6/14/2006 0:00,4602510E1C,1053H,V13P-1L,A69-1105,,69,,,,,,565,00:00.0,,,D,1105,212
1060108,Acoustic,SNS-2009-001,8/3/2009 10:05,3D9.257C6520FB,1060108,V13TP-1L,A69-1303,14246,69,,,,,,723,00:00.0,7403,,NA,,
1060109,Acoustic,SNS-2009-044,9/14/2009 16:22,3D9.257C661A4A,1060109,V13TP-1L,A69-1303,14247,69,,,,,,723,00:00.0,7403,,NA,,
1060110,Acoustic,SNS-2009-057,9/21/2009 14:30,3D9.257C63D366,1060110,V13TP-1L,A69-1303,14248,69,,,,,,723,00:00.0,7403,,NA,,
1060111,Acoustic,SNS-2009-144,10/21/2009 14:25,3D9.1C2CAC1A39,1060111,V13TP-1L,A69-1303,14249,69,,,,,,723,00:00.0,7403,,NA,,
1060113,Acoustic,SNS-2009-143,10/21/2009 14:25,3D9.1C2CAAEBA8,1060113,V13TP-1L,A69-1303,14251,69,,,,,,723,00:00.0,7403,,NA,,
1060114,Acoustic,SNS-2009-130,10/21/2009 14:01,3D9.1C2CAAEE42,1060114,V13TP-1L,A69-1303,14252,69,,,,,,723,00:00.0,7403,,NA,,
1063717,Acoustic,SNS-2009-103,8/17/2010 9:22,3D9.257C661B4B,1063717,V13TP-1L,A69-1303,14615,69,,,,,,723,00:00.0,7675,,NA,,
1063718,Acoustic,SNS-2010-009,8/17/2010 12:00,3D9.257C6509EE,1063718,V13TP-1L,A69-1303,14616,69,,,,,,723,00:00.0,7675,,NA,,
1068449,Acoustic,SNS-2009-042,8/28/2009 14:58,3D9.257C65355C,1068449,V13TP-1L,A69-1303,14794,69,,,,,,723,00:00.0,8005,,NA,,
1097673,Acoustic,SNS-2010-014,8/19/2010 14:06,3D9.1C2CD4B6C2,1097673,V16TP-4x,A69-1303,52933,69,,,,,,1825,00:00.0,10246,,NA,,
1098590,Acoustic,SNS-2008-079,10/11/2010 11:52,3D9.1C2CABBD66,1098590,V13-1x,A69-1303,21947,69,,,,,,1006,00:00.0,10315,,NA,,
1098591,Acoustic,SNS-2008-048,10/11/2010 11:52,3D9.1C2CAAF9F2,1098591,V13-1x,A69-1303,21948,69,,,,,,1006,00:00.0,10315,,NA,,
1098592,Acoustic,SNS-2010-109,10/11/2010 11:52,3D9.1C2CAB3386,1098592,V13-1x,A69-1303,21949,69,,,,,,1006,00:00.0,10315,,NA,,
1098593,Acoustic,SNS-2010-004,10/11/2010 11:52,3D9.257C63E1FE,1098593,V13-1x,A69-1303,21950,69,,,,,,1006,00:00.0,10315,,NA,,
1098594,Acoustic,SNS-2008-009,10/11/2010 11:52,3D9.257C65E1E1,1098594,V13-1x,A69-1303,21951,69,,,,,,1006,00:00.0,10315,,NA,,
1098595,Acoustic,SNS-2008-077,10/11/2010 8:52,3D9.1C2CAC0152,1098595,V13-1x,A69-1303,21952,69,,,,,,1006,00:00.0,10315,,NA,,
1098596,Acoustic,SNS-2010-118,10/11/2010 12:49,3D9.1C2CABAB64,1098596,V13-1x,A69-1303,21953,69,,,,,,1006,00:00.0,10315,,NA,,
1098597,Acoustic,SNS-2008-038,10/11/2010 11:52,3D9.1C2CAC1F1D,1098597,V13-1x,A69-1303,21954,69,,,,,,1006,00:00.0,10315,,NA,,
1098599,Acoustic,SNS-2010-101,10/11/2010 11:52,3D9.1C2CAC17B4,1098599,V13-1x,A69-1303,21956,69,,,,,,1006,00:00.0,10315,,NA,,
1098600,Acoustic,SNS-2006-034,10/11/2010 11:52,460730733D,1098600,V13-1x,A69-1303,21957,69,,,,,,1006,00:00.0,10315,,NA,,
1098602,Acoustic,SNS-2009-074,10/11/2010 11:52,3D9.257C659DE4,1098602,V13-1x,A69-1303,21959,69,,,,,,1006,00:00.0,10315,,NA,,
1098603,Acoustic,SNS-2009-116,10/11/2010 11:52,3D9.1C2CD43563,1098603,V13-1x,A69-1303,21960,69,,,,,,1006,00:00.0,10315,,NA,,
1098604,Acoustic,SNS-2010-097,10/11/2010 11:52,3D9.1C2CAC1E33,1098604,V13-1x,A69-1303,21961,69,,,,,,1006,00:00.0,10315,,NA,,
1098605,Acoustic,SNS-2010-104,10/11/2010 11:52,3D9.1C2CAB3365,1098605,V13-1x,A69-1303,21962,69,,,,,,1006,00:00.0,10315,,NA,,
1098606,Acoustic,SNS-2008-073,10/11/2010 12:49,3D9.1C2CAC2811,1098606,V13-1x,A69-1303,21963,69,,,,,,1006,00:00.0,10315,,NA,,
1098607,Acoustic,SNS-2010-088,10/11/2010 11:52,3D9.1C2CD47B78,1098607,V13-1x,A69-1303,21964,69,,,,,,1006,00:00.0,10315,,NA,,
1098679,Acoustic,SNS-2010-015,8/23/2010 11:07,3D9.257C64D295,1098679,V16TP-4x,A69-1303,46590,69,,,,,,1825,00:00.0,10332,,NA,,
1098680,Acoustic,SNS-2010-052,9/1/2010 9:42,3D9.1C2CAB05DB,1098680,V16TP-4x,A69-1303,46591,69,,,,,,1825,00:00.0,10332,,NA,,
1098681,Acoustic,SNS-2010-057,9/6/2010 10:36,3D9.1C2CABFBED,1098681,V16TP-4x,A69-1303,46592,69,,,,,,1825,00:00.0,10332,,NA,,
1098682,Acoustic,SNS-2010-054,9/3/2010 10:57,3D9.1C2CD443A6,1098682,V16TP-4x,A69-1303,46593,69,,,,,,1825,00:00.0,10332,,NA,,
1098684,Acoustic,SNS-2010-060,9/10/2010 12:55,3D9.1C2CABFA8D,1098684,V16TP-4x,A69-1303,46595,69,,,,,,1825,00:00.0,10332,,NA,,
1098685,Acoustic,SNS-2009-096,9/10/2010 10:38,3D9.257C661D2E,1098685,V16TP-4x,A69-1303,46596,69,,,,,,1825,00:00.0,10332,,NA,,
1147447,Acoustic,SNS-2009-013,10/5/2012 0:00,3D9.257C63E4C7,1147447,V16-4x,A69-9001,28160,69,,,,,,2993,00:00.0,14048,,NA,,
1147448,Acoustic,SNS-2015-021,7/16/2015 0:00,3D9.1BF1886412,1147448,V16-4x,A69-9001,28161,69,,,,,,2993,00:00.0,14048,,NA,,
1147449,Acoustic,SNS-2013-068,10/9/2013 0:00,384.36F2B57B83,1147449,V16-4x,A69-9001,28162,69,,,,,,2993,00:00.0,14048,,NA,,
1147452,Acoustic,SNS-2014-017,9/1/2014 0:00,3D9.1BF1886F20,1147452,V16-4x,A69-9001,28165,69,,,,,,2993,00:00.0,14048,,NA,,
1147455,Acoustic,SNS-2012-077,10/5/2012 0:00,3D9.1C2D6C04C8,1147455,V16-4x,A69-9001,28168,69,,,,,,2993,00:00.0,14048,,NA,,
1147457,Acoustic,SNS-2012-078,10/5/2012 0:00,3D9.1C2D6CE813,1147457,V16-4x,A69-9001,28170,69,,,,,,2993,00:00.0,14048,,NA,,
1147458,Acoustic,SNS-2009-075,10/5/2012 0:00,3D9.257C64CB80,1147458,V16-4x,A69-9001,28171,69,,,,,,2993,00:00.0,14048,,NA,,
1147461,Acoustic,SNS-2011-089,10/5/2012 0:00,3D9.1C2D7DD3B8,1147461,V16-4x,A69-9001,28174,69,,,,,,2993,00:00.0,14048,,NA,,
1147463,Acoustic,SNS-2012-074,10/5/2012 0:00,3D9.1C2D6CC9D5,1147463,V16-4x,A69-9001,28176,69,,,,,,2993,00:00.0,14048,,NA,,
1147464,Acoustic,SNS-2009-072,10/5/2012 0:00,3D9.257C65128D,1147464,V16-4x,A69-9001,28177,69,,,,,,2993,00:00.0,14048,,NA,,
1194440,Acoustic,SNS-2015-026,7/21/2015 0:00,3D9.1BF18888EB,1194440,V16-4x,A69-9001,24574,69,,,,,,2435,00:00.0,17577,,NA,,
1194441,Acoustic,SNS-2015-031,8/6/2015 0:00,3D9.1BF1887762,1194441,V16-4x,A69-9001,24575,69,,,,,,2435,00:00.0,17577,,NA,,
1194442,Acoustic,SNS-2014-028,10/26/2014 0:00,3D9.1BF1885BDA,1194442,V16-4x,A69-9001,24576,69,,,,,,2435,00:00.0,17577,,NA,,
