FishID,Species,TagID,TagType,Origin,FishIDs,ProjectID,ReleaseSite,CaptureDate,CaptureLocation,Easting,Northing,ForkLength,TotalLength,LengthUnit,Mass,MassUnit,Alive,Recapture,InitialRelease,Sex,Interorbital,InsideMouth,OutsideMouth,DorsalScore,CaudalScore,FinClipObs,Surgeon,VIE,DevelopmentalStage,StockingMark1,StockingMark2,FinClip,ScaleSample,SensorType,SensorIDCode,SensorCodeSpace,System,Notes
SNS-2008-005,SNS,1042800,Acoustic,Wild,"Carlin: 31495; Genetic ID: G-199; Photo ID: 08-012;",Sturgeon-PNR,"Penobscot River","2008-07-15 15:00:00","Penobscot River",514972,4946773,88,103,cm,7.5,kg,1,0,1,U,66,47,59,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2008-006,SNS,1042796,Acoustic,Wild,"Carlin: 31497; Genetic ID: G-201; Photo ID: 08-014;",Sturgeon-PNR,"Penobscot River","2008-07-15 15:00:00","Penobscot River",514972,4946773,95,110,cm,8.0,kg,1,0,1,F,69,46,58,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2008-007,SNS,1043691,Acoustic,Wild,"Carlin: 31494; FLOY: 53395; Genetic ID: G-198; Photo ID: 17-028;",Sturgeon-PNR,"Penobscot River","2008-07-15 15:00:00","Penobscot River",514972,4946773,98,116,cm,6.75,kg,1,0,1,U,67,46,56,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2008-007,SNS,1043691,Acoustic,Wild,"Carlin: 31494; FLOY: 53395; Genetic ID: G-198; Photo ID: 17-028;",Sturgeon-PNR,"Penobscot River","2009-10-16 11:30:00","Penobscot River",516989,4958040,,,cm,5.75,kg,1,1,0,,,,,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2008-007,SNS,1043691,Acoustic,Wild,"Carlin: 31494; FLOY: 53395; Genetic ID: G-198; Photo ID: 17-028;",Sturgeon-PNR,"Penobscot River","2010-10-11 11:52:00","Penobscot River",517235,4958383,93,112,cm,6.0,kg,1,1,0,TT,66,53,56,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2008-007,SNS,1043691,Acoustic,Wild,"Carlin: 31494; FLOY: 53395; Genetic ID: G-198; Photo ID: 17-028;",Sturgeon-PNR,"Penobscot River","2011-10-07 13:00:00","Penobscot River",520289,4961971,95,113,cm,7.5,kg,1,1,0,EF,66,52,54,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2008-007,SNS,1043691,Acoustic,Wild,"Carlin: 31494; FLOY: 53395; Genetic ID: G-198; Photo ID: 17-028;",Sturgeon-PNR,"Penobscot River","2017-07-14 00:00:00",Penobscot,514534,4947641,101,118,cm,7.5499999999999998,kg,1,1,0,U,71,51,63,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2008-007,SNS,1268216,Acoustic,Wild,"Carlin: 31494; FLOY: 53395; Genetic ID: G-198; Photo ID: 17-028;",Sturgeon-PNR,"Penobscot River","2008-07-15 15:00:00","Penobscot River",514972,4946773,98,116,cm,6.75,kg,1,0,1,U,67,46,56,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2008-007,SNS,1268216,Acoustic,Wild,"Carlin: 31494; FLOY: 53395; Genetic ID: G-198; Photo ID: 17-028;",Sturgeon-PNR,"Penobscot River","2009-10-16 11:30:00","Penobscot River",516989,4958040,,,cm,5.75,kg,1,1,0,,,,,,,,,,,,,,,,NA,NA,Penobscot,
SNS-2008-007,SNS,1268216,Acoustic,Wild,"Carlin: 31494; FLOY: 53395; Genetic ID: G-198; Photo ID: 17-028;",Sturgeon-PNR,"Penobscot River","2010-10-11 11:52:00","Penobscot River",517235,4958383,93,112,cm,6.0,kg,1,1,0,TT,66,53,56,,,,,,,,,,,,NA,NA,Penobscot,
