"ANIMAL_ID   (floy tag ID, pit tag code, etc.)",TAG_TYPE,TAG_MANUFACTURER,TAG_MODEL,TAG_SERIAL_NUMBER,TAG_ID_CODE,TAG_CODE_SPACE,TAG_IMPLANT_TYPE,TAG_IMPLANT_METHOD,TAG_ACTIVATION_DATE,EST_TAG_LIFE,TAGGER,TAG_OWNER_PI,TAG_OWNER_ORGANIZATION,COMMON_NAME_E,SCIENTIFIC_NAME,CAPTURE_LOCATION,CAPTURE_LATITUDE,CAPTURE_LONGITUDE,WILD_OR_HATCHERY,STOCK,LENGTH (m),WEIGHT (kg),LENGTH_TYPE,LENGTH2 (m),LENGTH2_TYPE,LIFE_STAGE,AGE,AGE_UNITS,SEX,DNA_SAMPLE_TAKEN,TREATMENT_TYPE,RELEASE_GROUP,RELEASE_LOCATION,RELEASE_LATITUDE,RELEASE_LONGITUDE,UTC_RELEASE_DATE_TIME,HARVEST_DATE,CAPTURE_DEPTH (m),TEMPERATURE_CHANGE (degrees C),HOLDING_TEMPERATURE (degrees C),PREOP_HOLD_PERIOD,POSTOP_HOLD_PERIOD,SURGERY_LOCATION,DATE_OF_SURGERY,SURGERY_LATITUDE,SURGERY_LONGITUDE,SEDATIVE,SEDATIVE_CONCENTRATION (ppm),ANAESTHETIC,BUFFER,ANAESTHETIC_CONCENTRATION (ppm),BUFFER_CONCENTRATION_IN_ANAESTHETIC (ppm),ANAESTHETIC_CONCENTRATION_IN_RECIRCULATION (ppm),BUFFER_CONCENTRATION_IN_RECIRCULATION (ppm),DISSOLVED_OXYGEN (ppm),COMMENTS,,,,,,,,,,,,,,,,,
3D9.257C65D89E,Acoustic,VEMCO,V16-4x,1221722,21255,A69-9001,INTERNAL,"Midventral line incision, sutures",2015-10-09,2435 days,Catherine Johnston/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Shortnose Sturgeon,Acipenser brevirostrum,Penobscot River,44.81085,-68.74318,W,NA,0.897,7,FORK,,,Adult,Unknown,,F,Yes,,,Penobscot River,44.81085,-68.74318,2015/10/09T00:00:00,,5.51688,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
3DD.003BEF36A5,Acoustic,VEMCO,V16-4x,1251360,11181,A69-9002,INTERNAL,"Midventral line incision, sutures",2017-07-11,2427 days,Catlin Ames/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Shortnose Sturgeon,Acipenser brevirostrum,Penobscot River,44.94181,-68.64457,W,NA,0.622,1.5,FORK,,,Adult,Unknown,,U,Yes,,,Penobscot River,44.93041,-68.6401,2017/07/11T00:00:00,,0,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
3D9.257C65996E,Acoustic,VEMCO,V16-4x,1268216,14285,A69-9001,INTERNAL,"Midventral line incision, sutures",2017-07-14,3650 days,Catlin Ames/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Shortnose Sturgeon,Acipenser brevirostrum,Penobscot River,44.68104,-68.81750,W,NA,1.01,7.55,FORK,,,Adult,Unknown,,U,Yes,,,Penobscot River,44.68104,-68.81750,2017/07/14T00:00:00,,8.8392,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
3DD.003BEF36B8,Acoustic,VEMCO,V16-4x,1268734,14219,A69-9001,INTERNAL,"Midventral line incision, sutures",2017-07-14,3650 days,Catlin Ames/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Atlantic Sturgeon,Acipenser oxyrinchus,Penobscot River,44.68104,-68.81750,W,NA,1.405,21.3,FORK,,,Adult,Unknown,,U,Yes,,,Penobscot River,44.68104,-68.81750,2017/07/14T00:00:00,,8.8392,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
3DD.003BEF36BB,Acoustic,VEMCO,V16-4x,1268735,14220,A69-9001,INTERNAL,"Midventral line incision, sutures",2017-07-14,3650 days,Catlin Ames/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Atlantic Sturgeon,Acipenser oxyrinchus,Penobscot River,44.68104,-68.81750,W,NA,1.487,25.3,FORK,,,Adult,Unknown,,U,Yes,,,Penobscot River,44.68104,-68.81750,2017/07/14T00:00:00,,8.8392,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
3DD.003BEF36B6,Acoustic,VEMCO,V16-4x,1268215,14284,A69-9001,INTERNAL,"Midventral line incision, sutures",2017-07-26,3650 days,Catlin Ames/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Shortnose Sturgeon,Acipenser brevirostrum,Penobscot River,44.74458,-68.8285,W,NA,0.755,3.55,FORK,,,Adult,Unknown,,U,Yes,,,Penobscot River,44.74458,-68.8285,2017/07/26T00:00:00,,6.6294,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
3DD.003BEF36B2,Acoustic,VEMCO,V16-4x,1268217,14286,A69-9001,INTERNAL,"Midventral line incision, sutures",2017-07-27,3650 days,Catlin Ames/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Shortnose Sturgeon,Acipenser brevirostrum,Penobscot River,44.78455,-68.77449,W,NA,0.718,3.05,FORK,,,Adult,Unknown,,U,Yes,,,Penobscot River,44.78455,-68.77449,2017/07/27T00:00:00,,4.6482,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
3D9.1C2D7ECB46,Acoustic,VEMCO,V16-4x,1268220,14289,A69-9001,INTERNAL,"Midventral line incision, sutures",2017-08-01,3650 days,Catlin Ames/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Shortnose Sturgeon,Acipenser brevirostrum,Penobscot River,44.68104,-68.81750,W,NA,0.879,6.5,FORK,,,Adult,Unknown,,F,Yes,,,Penobscot River,44.68104,-68.81750,2017/08/01T00:00:00,,7.142988,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
3DD.003BEF36E0,Acoustic,VEMCO,V16-4x,1268219,14288,A69-9001,INTERNAL,"Midventral line incision, sutures",2017-08-01,3650 days,Catlin Ames/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Shortnose Sturgeon,Acipenser brevirostrum,Penobscot River,44.68104,-68.81750,W,NA,0.849,5.65,FORK,,,Adult,Unknown,,F,Yes,,,Penobscot River,44.68104,-68.81750,2017/08/01T00:00:00,,7.142988,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
3DD.003BEF36E1,Acoustic,VEMCO,V16-4x,1268223,14292,A69-9001,INTERNAL,"Midventral line incision, sutures",2017-08-14,3650 days,Catlin Ames/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Shortnose Sturgeon,Acipenser brevirostrum,Penobscot River,44.68104,-68.81750,W,NA,0.776,4.25,FORK,,,Adult,Unknown,,F,Yes,,,Penobscot River,44.68104,-68.81750,2017/08/14T00:00:00,,8.933688,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
