"","FishID","Species","TagID","TagType","Origin","FishIDs","ProjectID","ReleaseSite","CaptureDate","CaptureLocation","Easting","Northing","ForkLength","TotalLength","LengthUnit","Mass","MassUnit","Alive","Recapture","InitialRelease","Sex","Interorbital","InsideMouth","OutsideMouth","DorsalScore","CaudalScore","FinClipObs","Surgeon","VIE","DevelopmentalStage","StockingMark1","StockingMark2","FinClip","ScaleSample","SensorType","SensorIDCode","SensorCodeSpace","System","Notes"
"40","2025-SNS-0002","SNS","A69-2801-201218","Acoustic","Wild","","","",2025-08-04,"Hallowell",437291,4902372,68,82,"cm",NA,"g",1,0,1,"UNK",57,38,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec",""
"41","2025-SNS-0003","SNS","A69-2801-201216","Acoustic","Wild","","","",2025-08-04,"Hallowell",437291,4902372,65,76,"cm",NA,"g",1,0,1,"UNK",51,40,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec",""
"42","2025-SNS-0004","SNS","A69-2801-201221","Acoustic","Wild","","","",2025-08-04,"Hallowell",437291,4902372,75,86,"cm",NA,"g",1,0,1,"UNK",59,46,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec","NO RIGHT PEC"
"43","2025-SNS-0005","SNS","A69-2801-201220","Acoustic","Wild","","","",2025-08-04,"Hallowell",437291,4902372,65,77,"cm",NA,"g",1,0,1,"UNK",50,36,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec","WOUND L"
"44","2025-SNS-0006","SNS","A69-2801-201129","Acoustic","Wild","","","",2025-08-04,"Hallowell",437291,4902372,74,84,"cm",NA,"g",1,0,1,"UNK",57,44,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec","CAUDAL DEFORMITY"
"45","2025-SNS-0007","SNS","A69-2801-201223","Acoustic","Wild","","","",2025-08-04,"Hallowell",437291,4902372,65,76,"cm",NA,"g",1,0,1,"UNK",49,37,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec",""
"46","2025-SNS-0008","SNS","A69-2801-201222","Acoustic","Wild","","","",2025-08-04,"Hallowell",437291,4902372,70,82,"cm",NA,"g",1,0,1,"UNK",52,44,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec",""
"47","2025-SNS-0009","SNS","A69-2801-201217","Acoustic","Wild","","","",2025-08-04,"Hallowell",437291,4902372,68,82,"cm",NA,"g",1,0,1,"UNK",51,44,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec",""
"48","2025-SNS-0010","SNS","A69-2801-201214","Acoustic","Wild","","","",2025-08-04,"Hallowell",437291,4902372,58,70,"cm",NA,"g",1,0,1,"UNK",51,35,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec",""
"49","2025-SNS-0011","SNS","A69-2801-201213","Acoustic","Wild","","","",2025-08-04,"Hallowell",437291,4902372,59,69,"cm",NA,"g",1,0,1,"UNK",47,36,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec",""
