FishID,Species,TagID,TagType,Origin,FishIDs,ProjectID,ReleaseSite,CaptureDate,CaptureLocation,Easting,Northing,ForkLength,TotalLength,LengthUnit,Mass,MassUnit,Alive,Recapture,InitialRelease,Sex,Interorbital,InsideMouth,OutsideMouth,DorsalScore,CaudalScore,FinClipObs,Surgeon,VIE,DevelopmentalStage,StockingMark1,StockingMark2,FinClip,ScaleSample,SensorType,SensorIDCode,SensorCodeSpace,System,Notes
AST-2007-025,AST,A69-2801-201228,Acoustic,Wild,"Carlin: 31449; Genetic ID: G-154; Photo ID: 07-088;",Sturgeon-PNR,"Penobscot River","2025-07-29 00:00:00",Gardiner,438716,4899033,197,225,cm,,g,1,1,0,UNK,,74,102,,,,,,,,,,,,NA,NA,Kennebec,
AST-2008-001,AST,1042797,Acoustic,Wild,"Carlin: 31484; Genetic ID: G-189; Photo ID: 08-001;",Sturgeon-PNR,"Penobscot River","2008-06-30 00:00:00","Penobscot River",,,92,106,cm,7.5,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2008-001,AST,1042797,Acoustic,Wild,"Carlin: 31484; Genetic ID: G-189; Photo ID: 08-001;",Sturgeon-PNR,"Penobscot River","2014-09-01 00:00:00","Penobscot River",,,137,160,cm,,kg,1,1,0,,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2008-002,AST,1042788,Acoustic,Wild,"Carlin: 31485; FLOY: 100472; Genetic ID: G-629; Photo ID: 10-125;",Sturgeon-PNR,"Penobscot River","2008-07-02 00:00:00","Penobscot River",,,103,121,cm,10.0,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2008-002,AST,1042788,Acoustic,Wild,"Carlin: 31485; FLOY: 100472; Genetic ID: G-629; Photo ID: 10-125;",Sturgeon-PNR,"Penobscot River","2010-09-29 00:00:00","Penobscot River",513009,4948718,117,137,cm,14.0,kg,1,1,0,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2008-003,AST,1042789,Acoustic,Wild,"Carlin: 31486; Genetic ID: G-191; Photo ID: 08-003;",Sturgeon-PNR,"Penobscot River","2008-07-02 00:00:00","Penobscot River",,,102,122,cm,8.5,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2008-004,AST,1042787,Acoustic,Wild,"Carlin: 31487; Genetic ID: G-192; Photo ID: 08-004;",Sturgeon-PNR,"Penobscot River","2008-07-02 00:00:00","Penobscot River",,,112,132,cm,13.5,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2008-005,AST,1042798,Acoustic,Wild,"Carlin: 31490; Genetic ID: G-195; Photo ID: 08-007;",Sturgeon-PNR,"Penobscot River","2008-07-15 00:00:00","Penobscot River",,,114,133,cm,13.0,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2008-006,AST,1042799,Acoustic,Wild,"Carlin: 31491; Genetic ID: G-196; Photo ID: 08-008;",Sturgeon-PNR,"Penobscot River","2008-07-15 00:00:00","Penobscot River",,,124,144,cm,18.0,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2008-011,AST,1043695,Acoustic,Wild,"Carlin: 32105; Genetic ID: G-208; Photo ID: 08-022;",Sturgeon-PNR,"Penobscot River","2008-07-30 00:00:00","Penobscot River",514686,4947826,118,137,cm,15.5,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2008-012,AST,1043697,Acoustic,Wild,"Carlin: 32102; Genetic ID: G-205; Photo ID: 08-019;",Sturgeon-PNR,"Penobscot River","2008-07-30 00:00:00","Penobscot River",514724,4947109,112,129,cm,10.0,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2008-013,AST,1042790,Acoustic,Wild,"Carlin: 32110; Genetic ID: G-213; Photo ID: 08-028;",Sturgeon-PNR,"Penobscot River","2008-08-08 00:00:00","Penobscot River",514655,4947885,87,102,cm,6.0,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2008-014,AST,1043692,Acoustic,Wild,"Carlin: 32112; Genetic ID: G-214; Photo ID: 08-029;",Sturgeon-PNR,"Penobscot River","2008-08-08 00:00:00","Penobscot River",514660,4947181,112,129,cm,13.5,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
