"Event","Species","Rearing_Origin","Stage","System","Encounter_Time_zone","Encounter_Timestamp","Encounter_Location","Encounter_Easting","Encounter_Northing","Encounter_UTMZone","Encounter_Disposition","Release_Status","Release_Timezone","Release_Timestamp","Release_Location","Release_Easting","Release_Northing","TagType","TagManufacturer","TagModel","TagSerialNumber","EstTagLife","Acoustic_ID","Acoustic_Sensor_type","Acoustic_.Sensor_idcode","Acoustic_Sensor_value","PIT_ID","Radio_ID","Radio_Freq","Radio_BurstRate","External_TagID","Mark.Observed","Mark.Applied","VIE","ForkLength..cm.","TotalLength..cm.","Mass..g.","Sex","STRG_Interorbital.mm.","STRG_InsideMouth.mm.","STRG_OutsideMouth.mm.","Notes","Operator.s."
"Initial capture","SNS","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645282,2560,"A69-2801-201236",,,,"3DD.003E185F7B",,,,,"None","None","None",87.3,102.4,,"UNK",67.7,47.2,53.7,,"JZ,SE"
"Initial capture","SNS","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645287,2560,"A69-2801-201241",,,,"3DD.003E185F82",,,,,"None","None","None",95,109.7,,"UNK",71,49,61,,"JZ,SE"
"Initial capture","SNS","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645291,2560,"A69-2801-201245",,,,"3DD.003E185F6E",,,,,"None","None","None",109.2,118,,"UNK",69.1,48.5,66.8,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645292,2560,"A69-2801-201246",,,,"3DD.003E185F8B",,,,,"None","None","None",94.4,113.2,,"UNK",77.8,37.6,51.4,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645289,2560,"A69-2801-201243",,,,"3DD.003E185F8A",,,,,"None","None","None",87,101.4,,"UNK",63,33,47,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645288,2560,"A69-2801-201242",,,,"3DD.003E185F7C",,,,,"None","None","None",90.4,108.6,,"UNK",71,36.1,55.9,"RIGHT PECTORAL WOUND","JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645275,2560,"A69-2801-201229",,,,"3DD.003E185F81",,,,,"None","None","None",159.2,185.3,,"UNK",120,59.7,85.9,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645279,2560,"A69-2801-201233",,,,"3DD.003E185F7A",,,,,"None","None","None",90,105.8,,"UNK",73,39,52,,"JZ,SE"
"Initial capture","SNS","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645285,2560,"A69-2801-201239",,,,"3DD.003E185F66",,,,,"None","None","None",94.8,108.8,,"UNK",73,50,66,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645286,2560,"A69-2801-201240",,,,"3DD.003E185F83",,,,,"None","None","None",85.6,103,,"UNK",79,34,53,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645281,2560,"A69-2801-201235",,,,"3DD.003E185F6D",,,,,"None","None","None",109,125,,"UNK",91.4,48.2,68.4,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645276,2560,"A69-2801-201230",,,,"3DD.003E185F6B",,,,,"None","None","None",109,114,,"UNK",80,43,59,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645277,2560,"A69-2801-201231",,,,"3DD.003E185F73",,,,,"None","None","None",103,123,,"UNK",85,43,64,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645272,2560,"A69-2801-201226",,,,"3DD.003E185F58",,,,,"None","None","None",95,112,,"UNK",75,34.8,56.4,,"JZ,SE"
"Initial capture","AST","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645284,2560,"A69-2801-201238",,,,"3DD.003E185F53",,,,,"None","None","None",130,152,,"UNK",113,49,74,,"JZ,SE"
"Initial capture","SNS","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,19,"Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"Multiple","Innovosea","V16-4x-BLU-1",1645298,2560,"A69-2801-201252",,,,"3DD.003E185F84",,,,,"None","None","None",94.6,107.6,,"UNK",75,48,70,,"JZ,SE"
