"Event","Species","Rearing_Origin","Stage","System","Encounter_Time_zone","Encounter_Timestamp","Encounter_Location","Encounter_Easting","Encounter_Northing","Encounter_UTMZone","Encounter_Disposition","Release_Status","Release_Timezone","Release_Timestamp","Release_Location","Release_Easting","Release_Northing","TagType","TagManufacturer","TagModel","TagSerialNumber","EstTagLife","Acoustic_ID","Acoustic_Sensor_type","Acoustic_.Sensor_idcode","Acoustic_Sensor_value","PIT_ID","Radio_ID","Radio_Freq","Radio_BurstRate","External_TagID","Mark.Observed","Mark.Applied","VIE","ForkLength..cm.","TotalLength..cm.","Mass..g.","Sex","STRG_Interorbital.mm.","STRG_InsideMouth.mm.","STRG_OutsideMouth.mm.","Notes","Operator.s."
"Recapture","SNS","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645290,"2560","A69-2801-201244",,,,,,,,,"None","None","None",91.1,105,,,73.1,49.1,59.8,,"JZ,SE"
"Intial capture","SNS","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645282,"2560","A69-2801-201236",,,,,,,,,"None","None","None",87.3,102.4,,,67.7,47.2,53.7,,"JZ,SE"
"Intial capture","SNS","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645287,"2560","A69-2801-201241",,,,,,,,,"None","None","None",95,109.7,,,71,49,61,,"JZ,SE"
"Intial capture","SNS","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645291,"2560","A69-2801-201245",,,,,,,,,"None","None","None",109.2,118,,,69.1,48.5,66.8,,"JZ,SE"
"Intial capture","AST","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645292,"2560","A69-2801-201246",,,,,,,,,"None","None","None",94.4,113.2,,,77.8,37.6,51.4,,"JZ,SE"
"Intial capture","AST","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645289,"2560","A69-2801-201243",,,,,,,,,"None","None","None",87,101.4,,,63,33,47,,"JZ,SE"
"Intial capture","AST","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645288,"2560","A69-2801-201242",,,,,,,,,"None","None","None",90.4,108.6,,,71,36.1,55.9,"RIGHT PECTORAL WOUND","JZ,SE"
"Recapture","SNS","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645293,"2560","A69-2801-201247",,,,,,,,,"None","None","None",90.3,104.8,,,68,39,55,,"JZ,SE"
"Recapture","SNS","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645278,"2560","A69-2801-201232",,,,,,,,,"None","None","None",89,100.4,,,67,38,59,,"JZ,SE"
"Recapture","SNS","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645280,"2560","A69-2801-201234",,,,,,,,,"None","None","None",86.8,101,,,62,47,54,,"JZ,SE"
"Intial capture","AST","Wild",,"Penobscot","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/05/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645275,"2560","A69-2801-201229",,,,,,,,,"None","None","None",159.2,185.3,,,120,59.7,85.9,,"JZ,SE"
